NAME,GEOID,SOCIOECON_18,HSECOMP_18,MINLANG_18,HSETRANS_18,OVERALL_18
"Census Tract 9598, Las Mar�as Municipio, Puerto Rico",72083959800,0.5322,0.5005,0.9988,0.4405,0.7089
"Census Tract 9506, Vieques Municipio, Puerto Rico",72147950600,0.5719,0.2027,0.2797,0.7451,0.3907
"Census Tract 1809.02, Humacao Municipio, Puerto Rico",72069180902,0.0441,0.24,0.0294,0.453,0.0577
"Census Tract 1701, Naguabo Municipio, Puerto Rico",72103170100,0.5198,0.0385,0.5956,0.3703,0.2751
"Census Tract 1602.02, Ceiba Municipio, Puerto Rico",72037160202,0.3941,0.0113,0.3137,0.3544,0.1257
"Census Tract 9597, Las Mar�as Municipio, Puerto Rico",72083959700,0.7451,0.0679,0.6885,0.1336,0.3137
"Census Tract 8402, San Germ�n Municipio, Puerto Rico",72125840200,0.5639,0.0453,0.8935,0.5617,0.5232
"Census Tract 1803.01, Humacao Municipio, Puerto Rico",72069180301,0.2197,0.2151,0.8335,0.436,0.3442
"Census Tract 1808, Humacao Municipio, Puerto Rico",72069180800,0.5775,0.1211,0.8844,0.1936,0.3771
"Census Tract 5.06, San Juan Municipio, Puerto Rico",72127000506,0.0543,0.0056,0.0045,0.8516,0.0906
"Census Tract 1803.02, Humacao Municipio, Puerto Rico",72069180302,0.3046,0.0939,0.3431,0.4269,0.1551
"Census Tract 9506, Yabucoa Municipio, Puerto Rico",72151950600,0.6228,0.3386,0.7327,0.1687,0.4314
"Census Tract 1704, Naguabo Municipio, Puerto Rico",72103170400,0.342,0.4903,0.7214,0.7327,0.6364
"Census Tract 100.02, San Juan Municipio, Puerto Rico",72127010002,0,0.0124,0.1483,0.3023,0.0237
"Census Tract 2903, Patillas Municipio, Puerto Rico",72109290300,0.5311,0.1472,0.7916,0.2763,0.368
"Census Tract 9505, Culebra Municipio, Puerto Rico",72049950500,0.3204,0.1868,0.0781,0.966,0.2831
"Census Tract 1602.01, Ceiba Municipio, Puerto Rico",72037160201,0.5164,0.4711,0.2718,0.8856,0.5685
"Census Tract 4, San Juan Municipio, Puerto Rico",72127000400,0.4484,0.0215,0.0747,0.8482,0.2174
"Census Tract 9602, Maricao Municipio, Puerto Rico",72093960200,0.667,0.1155,0.8097,0.9841,0.7542
"Census Tract 9516, Maunabo Municipio, Puerto Rico",72095951600,0.6693,0.3046,0.8357,0.325,0.5628
"Census Tract 3101, Hatillo Municipio, Puerto Rico",72065310100,0.3386,0.368,0.5583,0.1528,0.2265
"Census Tract 3103, Hatillo Municipio, Puerto Rico",72065310300,0.3171,0.06,0.5775,0.0056,0.0996
"Census Tract 1805, Humacao Municipio, Puerto Rico",72069180500,0.137,0.2684,0.6002,0.4224,0.231
"Census Tract 1802.01, Humacao Municipio, Puerto Rico",72069180201,0.522,0.5107,0.9229,0.7791,0.812
"Census Tract 9601, Maricao Municipio, Puerto Rico",72093960100,0.8187,0.1857,0.9943,0.3442,0.6647
"Census Tract 604.04, Trujillo Alto Municipio, Puerto Rico",72139060404,0.0067,0.1075,0.0249,0.0464,0.0033
"Census Tract 3102, Hatillo Municipio, Puerto Rico",72065310200,0.4043,0.1041,0.5753,0.4756,0.2887
"Census Tract 3104, Hatillo Municipio, Puerto Rico",72065310400,0.4428,0.0554,0.573,0.137,0.171
