OBJECTID	STATEFP	COUNTYFP	TRACTCE	GEOID	NAMELSAD	MTFCC	FUNCSTAT	ALAND	AWATER	INTPTLAT	INTPTLON	Tract_Name	NAME	SOCIOECON	HSECOMP	MINLANG	HSETRANS	OVERALL
1	72	119	130702	72119130702	Census Tract 1307.02	G5020	S	10909673	9644	18.3548286	-65.8449461	Census Tract 1307.02	Río Grande	0.5033	0.5701	0.6685	0.2975	0.5169
2	72	119	130300	72119130300	Census Tract 1303	G5020	S	8609803	110315	18.3958577	-65.8346708	Census Tract 1303	Río Grande	0.1889	0.8235	0.1289	0.6119	0.371
3	72	119	130500	72119130500	Census Tract 1305	G5020	S	1209818	0	18.3758737	-65.8455726	Census Tract 1305	Río Grande	0.6515	0.9864	0.5418	0.8778	0.9196
4	72	87	110102	72087110102	Census Tract 1101.02	G5020	S	2502454	27500	18.4151874	-65.842286	Census Tract 1101.02	Loíza	0.8585	0.7986	0.9377	0.2692	0.871
5	72	87	110200	72087110200	Census Tract 1102	G5020	S	1068651	791591	18.4298876	-65.8446315	Census Tract 1102	Loíza	0.9264	0.8167	0.9785	0.9536	0.9977
6	72	87	110301	72087110301	Census Tract 1103.01	G5020	S	1831337	1139622	18.4293655	-65.8620683	Census Tract 1103.01	Loíza	0.7737	0.6391	0.8812	0.9468	0.9615
7	72	55	961300	72055961300	Census Tract 9613	G5020	S	1678739	498516	17.9686932	-66.9144897	Census Tract 9613	Guánica	0.7443	0.983	0.4242	0.8314	0.9015
8	72	55	960900	72055960900	Census Tract 9609	G5020	S	13138815	43308	18.0093069	-66.90155	Census Tract 9609	Guánica	0.9366	0.5056	0.9343	0.2488	0.7737
9	72	55	961000	72055961000	Census Tract 9610	G5020	S	29963928	109289	18.0030805	-66.9344977	Census Tract 9610	Guánica	0.8653	0.9751	0.5791	0.1877	0.7658
10	72	55	961100	72055961100	Census Tract 9611	G5020	S	24581781	4633768	17.9687798	-66.8823256	Census Tract 9611	Guánica	0.5282	0.7941	0.4411	0.371	0.5576
11	72	55	961200	72055961200	Census Tract 9612	G5020	S	386843	28349	17.9674099	-66.9059426	Census Tract 9612	Guánica	0.9841	0.8778	0.7296	0.0848	0.7952
12	72	55	961400	72055961400	Census Tract 9614	G5020	S	1510880	478247	17.9684059	-66.9291674	Census Tract 9614	Guánica	0.4728	0.4671	0.6708	0.0882	0.3416
13	72	127	6500	72127006500	Census Tract 65	G5020	S	699920	0	18.4186309	-66.0601754	Census Tract 65	San Juan	0.0769	0.1187	0.0135	0.5475	0.052
14	72	127	6600	72127006600	Census Tract 66	G5020	S	488641	0	18.4083322	-66.054781	Census Tract 66	San Juan	0.8631	0.0056	0.0305	0.8642	0.3755
15	72	127	6700	72127006700	Census Tract 67	G5020	S	910624	0	18.4098473	-66.0599853	Census Tract 67	San Juan	0.0475	0.0294	0.0588	0.4377	0.0328
16	72	127	6800	72127006800	Census Tract 68	G5020	S	911868	0	18.4152402	-66.0673109	Census Tract 68	San Juan	0.2092	0.2997	0.1447	0.5667	0.1685
17	72	127	6900	72127006900	Census Tract 69	G5020	S	535748	8932	18.4111608	-66.0783782	Census Tract 69	San Juan	0.1176	0.7002	0.3076	0.2873	0.2171
18	72	139	60223	72139060223	Census Tract 602.23	G5020	S	1663294	50685	18.3571588	-66.0187752	Census Tract 602.23	Trujillo Alto	0.0757	0.4457	0.7375	0.7952	0.5271
19	72	141	957400	72141957400	Census Tract 9574	G5020	S	2534975	2471	18.2593942	-66.7101036	Census Tract 9574	Utuado	0.9298	0.9072	0.7997	0.4966	0.9366
20	72	141	957200	72141957200	Census Tract 9572	G5020	S	44352493	0	18.2529511	-66.733144	Census Tract 9572	Utuado	0.7929	0.3303	0.6414	0.1798	0.4694
21	72	141	956900	72141956900	Census Tract 9569	G5020	S	71801113	2855383	18.2908259	-66.6252433	Census Tract 9569	Utuado	0.7692	0.2601	0.8076	0.0622	0.4411
22	72	141	957600	72141957600	Census Tract 9576	G5020	S	47559484	227197	18.2065412	-66.6645675	Census Tract 9576	Utuado	0.5373	0.2364	0.8993	0.6006	0.6357
23	72	141	957300	72141957300	Census Tract 9573	G5020	S	2546042	88427	18.2769468	-66.702835	Census Tract 9573	Utuado	0.3076	0.2239	0.4196	0.1708	0.1312
24	72	141	957100	72141957100	Census Tract 9571	G5020	S	76299499	89948	18.2868028	-66.789417	Census Tract 9571	Utuado	0.8495	0.0723	0.3563	0.2861	0.2782
25	72	141	957000	72141957000	Census Tract 9570	G5020	S	46378351	687472	18.2995436	-66.686724	Census Tract 9570	Utuado	0.6538	0.492	0.6561	0.0158	0.3993
26	72	61	40602	72061040602	Census Tract 406.02	G5020	S	2426452	25380	18.3644188	-66.126397	Census Tract 406.02	Guaynabo	0.0667	0.0158	0.009	0.0633	0
27	72	61	40800	72061040800	Census Tract 408	G5020	S	4539742	0	18.3153664	-66.1337849	Census Tract 408	Guaynabo	0.8936	0.5373	0.6945	0.6391	0.8393
28	72	61	41100	72061041100	Census Tract 411	G5020	S	9008379	15274	18.2947399	-66.0996286	Census Tract 411	Guaynabo	0.2839	0.4988	0.0769	0.4128	0.1832
29	72	61	40101	72061040101	Census Tract 401.01	G5020	S	794090	328905	18.4305078	-66.1109169	Census Tract 401.01	Guaynabo	0.5723	0.4027	0.4513	0.9151	0.6696
30	72	61	40500	72061040500	Census Tract 405	G5020	S	1520940	589	18.359804	-66.1124401	Census Tract 405	Guaynabo	0.4943	0.4604	0.0622	0.4841	0.2477
31	72	61	40601	72061040601	Census Tract 406.01	G5020	S	3178064	0	18.3431755	-66.1064076	Census Tract 406.01	Guaynabo	0.3257	0.7975	0.3778	0.9502	0.707
32	72	61	40103	72061040103	Census Tract 401.03	G5020	S	333528	0	18.4309328	-66.1178378	Census Tract 401.03	Guaynabo	0.8042	0.9852	0.7092	0.8585	0.9728
33	72	61	40102	72061040102	Census Tract 401.02	G5020	S	322452	0	18.4346162	-66.1183568	Census Tract 401.02	Guaynabo	0.5497	0.5837	0.5916	0.5124	0.6153
34	72	61	40421	72061040421	Census Tract 404.21	G5020	S	3338472	55425	18.376405	-66.1197907	Census Tract 404.21	Guaynabo	0.0825	0.1764	0.069	0.4332	0.0554
35	72	61	40200	72061040200	Census Tract 402	G5020	S	6518675	5418	18.4171267	-66.1153261	Census Tract 402	Guaynabo	0.2081	0.5226	0.0407	0.1414	0.0859
36	72	61	40303	72061040303	Census Tract 403.03	G5020	S	504961	0	18.403017	-66.1114156	Census Tract 403.03	Guaynabo	0.026	0.2205	0.0475	0.2375	0.026
37	72	61	40700	72061040700	Census Tract 407	G5020	S	10176266	36255	18.3447737	-66.1278108	Census Tract 407	Guaynabo	0.4457	0.7477	0.4988	0.6199	0.6549
38	72	61	40900	72061040900	Census Tract 409	G5020	S	13122442	798	18.3012326	-66.1214444	Census Tract 409	Guaynabo	0.6877	0.4377	0.9196	0.7748	0.8552
39	72	61	41000	72061041000	Census Tract 410	G5020	S	4845497	260	18.3213483	-66.0927491	Census Tract 410	Guaynabo	0.3337	0.4751	0.2488	0.1018	0.1459
40	72	53	150302	72053150302	Census Tract 1503.02	G5020	S	1366891	17510	18.3267677	-65.6537135	Census Tract 1503.02	Fajardo	0.63	0.992	0.5814	0.9875	0.9479
41	72	133	953500	72133953500	Census Tract 9535	G5020	S	33932581	3827263	18.0029351	-66.4151887	Census Tract 9535	Santa Isabel	0.3585	0.8156	0.6289	0.3133	0.5509
42	72	133	953700	72133953700	Census Tract 9537	G5020	S	1176249	0	17.9686107	-66.4008152	Census Tract 9537	Santa Isabel	0.1957	0.923	0.69	0.0339	0.4095
43	72	133	953800	72133953800	Census Tract 9538	G5020	S	5799726	1937530	17.9676183	-66.4154775	Census Tract 9538	Santa Isabel	0.1097	0.6787	0.854	0.5101	0.5712
44	72	133	953600	72133953600	Census Tract 9536	G5020	S	22913788	18678307	17.9553348	-66.3781218	Census Tract 9536	Santa Isabel	0.2115	0.7771	0.354	0.535	0.4309
45	72	133	953300	72133953300	Census Tract 9533	G5020	S	24327767	10589846	17.9826471	-66.3524687	Census Tract 9533	Santa Isabel	0.0588	0.4547	0.2703	0.0429	0.0667
