NAME,tothousing,state,county,tract,GEOID
"Census Tract 3008, Arecibo Municipio, Puerto Rico",185,72,013,300800,72013300800
"Census Tract 3010, Arecibo Municipio, Puerto Rico",215,72,013,301000,72013301000
"Census Tract 3011, Arecibo Municipio, Puerto Rico",281,72,013,301100,72013301100
"Census Tract 3014, Arecibo Municipio, Puerto Rico",134,72,013,301400,72013301400
"Census Tract 3016, Arecibo Municipio, Puerto Rico",244,72,013,301600,72013301600
"Census Tract 3018, Arecibo Municipio, Puerto Rico",146,72,013,301800,72013301800
"Census Tract 3017, Arecibo Municipio, Puerto Rico",257,72,013,301700,72013301700
"Census Tract 2802.02, Arroyo Municipio, Puerto Rico",156,72,015,280202,72015280202
"Census Tract 2802.01, Arroyo Municipio, Puerto Rico",278,72,015,280201,72015280201
"Census Tract 204.03, Cataño Municipio, Puerto Rico",298,72,033,020403,72033020403
"Census Tract 202, Cataño Municipio, Puerto Rico",272,72,033,020200,72033020200
"Census Tract 5801, Florida Municipio, Puerto Rico",225,72,054,580100,72054580100
"Census Tract 5802, Florida Municipio, Puerto Rico",233,72,054,580200,72054580200
"Census Tract 3102, Hatillo Municipio, Puerto Rico",310,72,065,310200,72065310200
"Census Tract 508.31, Carolina Municipio, Puerto Rico",318,72,031,050831,72031050831
"Census Tract 501.05, Carolina Municipio, Puerto Rico",172,72,031,050105,72031050105
"Census Tract 503.02, Carolina Municipio, Puerto Rico",246,72,031,050302,72031050302
"Census Tract 508.12, Carolina Municipio, Puerto Rico",305,72,031,050812,72031050812
"Census Tract 504.02, Carolina Municipio, Puerto Rico",287,72,031,050402,72031050402
"Census Tract 2608, Cayey Municipio, Puerto Rico",190,72,035,260800,72035260800
"Census Tract 2604, Cayey Municipio, Puerto Rico",240,72,035,260400,72035260400
"Census Tract 2603, Cayey Municipio, Puerto Rico",212,72,035,260300,72035260300
"Census Tract 2605, Cayey Municipio, Puerto Rico",285,72,035,260500,72035260500
"Census Tract 2601, Cayey Municipio, Puerto Rico",291,72,035,260100,72035260100
"Census Tract 2606, Cayey Municipio, Puerto Rico",173,72,035,260600,72035260600
"Census Tract 2602.01, Cayey Municipio, Puerto Rico",216,72,035,260201,72035260201
"Census Tract 2602.02, Cayey Municipio, Puerto Rico",219,72,035,260202,72035260202
"Census Tract 2607, Cayey Municipio, Puerto Rico",156,72,035,260700,72035260700
"Census Tract 5305, Corozal Municipio, Puerto Rico",272,72,047,530500,72047530500
"Census Tract 5304, Corozal Municipio, Puerto Rico",243,72,047,530400,72047530400
"Census Tract 5301, Corozal Municipio, Puerto Rico",178,72,047,530100,72047530100
"Census Tract 5302, Corozal Municipio, Puerto Rico",373,72,047,530200,72047530200
"Census Tract 5303, Corozal Municipio, Puerto Rico",213,72,047,530300,72047530300
"Census Tract 5306, Corozal Municipio, Puerto Rico",236,72,047,530600,72047530600
"Census Tract 9514, Maunabo Municipio, Puerto Rico",267,72,095,951400,72095951400
"Census Tract 9515, Maunabo Municipio, Puerto Rico",154,72,095,951500,72095951500
"Census Tract 9516, Maunabo Municipio, Puerto Rico",183,72,095,951600,72095951600
"Census Tract 7301, Peñuelas Municipio, Puerto Rico",314,72,111,730100,72111730100
