NAME,GEOID,totpop_16,totpop_17,totpop_18
"Adjuntas Municipio, Puerto Rico",72001,1456,1288,1200
"Aguada Municipio, Puerto Rico",72003,2200,2027,2000
"Aguadilla Municipio, Puerto Rico",72005,4026,3812,3800
"Aguas Buenas Municipio, Puerto Rico",72007,1406,1268,1200
"Aibonito Municipio, Puerto Rico",72009,1517,1363,1300
"Arecibo Municipio, Puerto Rico",72013,5923,5400,5200
"Arroyo Municipio, Puerto Rico",72015,962,883,850
"Barceloneta Municipio, Puerto Rico",72017,940,846,850
"Barranquitas Municipio, Puerto Rico",72019,1524,1373,1300
"Cabo Rojo Municipio, Puerto Rico",72023,2477,2250,2100
"Caguas Municipio, Puerto Rico",72025,8412,7550,7300
"Camuy Municipio, Puerto Rico",72027,1983,1790,1700
"Carolina Municipio, Puerto Rico",72031,10698,9739,9400
"Cayey Municipio, Puerto Rico",72035,2758,2490,2400
"Ceiba Municipio, Puerto Rico",72037,820,742,700
"Ciales Municipio, Puerto Rico",72039,1077,1001,950
"Cidra Municipio, Puerto Rico",72041,2716,2374,2200
"Coamo Municipio, Puerto Rico",72043,2222,2080,2000
"Corozal Municipio, Puerto Rico",72047,1650,1515,1500
"Culebra Municipio, Puerto Rico",72049,225,225,200
"Dorado Municipio, Puerto Rico",72051,1933,1728,1600
"Fajardo Municipio, Puerto Rico",72053,2403,2133,2100
"Florida Municipio, Puerto Rico",72054,489,458,450
"Guayama Municipio, Puerto Rico",72057,2450,2254,2200
"Guayanilla Municipio, Puerto Rico",72059,1508,1340,1400
"Guaynabo Municipio, Puerto Rico",72061,5631,4944,4600
"Gurabo Municipio, Puerto Rico",72063,2170,1969,1900
"Hatillo Municipio, Puerto Rico",72065,1716,1595,1600
"Hormigueros Municipio, Puerto Rico",72067,1225,1182,1100
"Humacao Municipio, Puerto Rico",72069,2904,2644,2500
"Isabela Municipio, Puerto Rico",72071,2123,1989,1900
"Jayuya Municipio, Puerto Rico",72073,773,704,750
"Juncos Municipio, Puerto Rico",72077,1673,1480,1500
"Lajas Municipio, Puerto Rico",72079,1273,1162,1100
"Lares Municipio, Puerto Rico",72081,1892,1751,1800
"Las Piedras Municipio, Puerto Rico",72085,1767,1574,1600
"Luquillo Municipio, Puerto Rico",72089,1292,1181,1100
"Maricao Municipio, Puerto Rico",72093,489,463,450
"Maunabo Municipio, Puerto Rico",72095,660,604,600
"Moca Municipio, Puerto Rico",72099,1813,1704,1700
"Morovis Municipio, Puerto Rico",72101,1618,1578,1600
"Naguabo Municipio, Puerto Rico",72103,927,837,850
"Naranjito Municipio, Puerto Rico",72105,1526,1358,1300
"Orocovis Municipio, Puerto Rico",72107,1576,1435,1400
"Patillas Municipio, Puerto Rico",72109,945,872,850
"Ponce Municipio, Puerto Rico",72113,11441,10426,10000
"Quebradillas Municipio, Puerto Rico",72115,1102,976,900
"Sabana Grande Municipio, Puerto Rico",72121,1451,1367,1400
"Salinas Municipio, Puerto Rico",72123,1755,1596,1600
"San Juan Municipio, Puerto Rico",72127,26516,24255,23500
"San Lorenzo Municipio, Puerto Rico",72129,2247,2011,1900
"Santa Isabel Municipio, Puerto Rico",72133,1177,1083,1100
"Toa Alta Municipio, Puerto Rico",72135,3795,3506,3400
"Toa Baja Municipio, Puerto Rico",72137,5426,4904,4800
"Trujillo Alto Municipio, Puerto Rico",72139,4279,4011,3800
"Utuado Municipio, Puerto Rico",72141,2066,1831,1800
"Vega Alta Municipio, Puerto Rico",72143,2248,2052,1900
"Vega Baja Municipio, Puerto Rico",72145,2801,2566,2700
"Vieques Municipio, Puerto Rico",72147,315,280,300
"Villalba Municipio, Puerto Rico",72149,1788,1670,1600
"Yabucoa Municipio, Puerto Rico",72151,1966,1773,1700
"Yauco Municipio, Puerto Rico",72153,2395,2184,2200
"Peñuelas Municipio, Puerto Rico",72111,1716,1525,1500
"Rincón Municipio, Puerto Rico",72117,830,706,750
"Añasco Municipio, Puerto Rico",72011,1674,1545,1400
"Las Marías Municipio, Puerto Rico",72083,690,627,600
"Guánica Municipio, Puerto Rico",72055,1345,1212,1200
"Mayagüez Municipio, Puerto Rico",72097,5394,5000,5000
"Comerío Municipio, Puerto Rico",72045,1258,1086,1000
"San Germán Municipio, Puerto Rico",72125,2053,1866,1900
"Loíza Municipio, Puerto Rico",72087,2308,2126,2100
"San Sebastián Municipio, Puerto Rico",72131,1991,1910,1800
"Cataño Municipio, Puerto Rico",72033,2311,2150,2100
"Manatí Municipio, Puerto Rico",72091,2625,2423,2400
"Juana Díaz Municipio, Puerto Rico",72075,3464,3128,3100
"Río Grande Municipio, Puerto Rico",72119,3142,2870,2800
"Bayamón Municipio, Puerto Rico",72021,16335,15071,14500
"Canóvanas Municipio, Puerto Rico",72029,2835,2573,2500
