NAME,GEOID,totpop_16,totpop_17,totpop_18,totpopdens_16,totpopdens_17,totpopdens_18,Area_km2
Adjuntas ,72001,1456,1288,1200,8.3785293,7.4117759,6.9053813,173.7775146
Aguada ,72003,2200,2027,2000,27.2771572,25.1321807,24.7974156,80.65356615
Aguadilla ,72005,4026,3812,3800,42.389257,40.1360774,40.0097309,94.97689478
Aguas Buenas ,72007,1406,1268,1200,18.0376945,16.2672807,15.3949029,77.94787728
Aibonito ,72009,1517,1363,1300,18.6900049,16.7926675,16.0164841,81.1663779
Arecibo ,72013,5923,5400,5200,17.9891888,16.4007462,15.7933111,329.2533126
Arroyo ,72015,962,883,850,24.6262103,22.6038915,21.7591255,39.06406995
Barceloneta ,72017,940,846,850,19.1932989,17.273969,17.3556427,48.97542642
Barranquitas ,72019,1524,1373,1300,17.1637372,15.4631307,14.6409831,88.79185142
Cabo Rojo ,72023,2477,2250,2100,12.8874689,11.7064211,10.925993,192.20221
Caguas ,72025,8412,7550,7300,54.9860829,49.3515128,47.7173568,152.9841654
Camuy ,72027,1983,1790,1700,16.4644157,14.8619789,14.1147286,120.4415652
Carolina ,72031,10698,9739,9400,86.3152961,78.5777406,75.8425672,123.9409523
Cayey ,72035,2758,2490,2400,20.493626,18.5022222,17.8334672,134.5784293
Ceiba ,72037,820,742,700,10.1624524,9.1957801,8.6752643,80.68918464
Ciales ,72039,1077,1001,950,6.2337282,5.7938365,5.4986461,172.7698038
Cidra ,72041,2716,2374,2200,28.7655988,25.143421,23.3005587,94.41833698
Coamo ,72043,2222,2080,2000,10.9950771,10.2924214,9.8965591,202.0904423
Corozal ,72047,1650,1515,1500,14.9639787,13.7396532,13.603617,110.2647917
Culebra ,72049,225,225,200,5.8534085,5.8534085,5.2030297,38.43914222
Dorado ,72051,1933,1728,1600,31.6692332,28.3106233,26.2135401,61.03715838
Fajardo ,72053,2403,2133,2100,29.715586,26.3767561,25.9686769,80.86665373
Florida ,72054,489,458,450,12.4031368,11.6168438,11.4139295,39.42551059
Guayama ,72057,2450,2254,2200,13.5679979,12.4825581,12.1835083,180.5719616
Guayanilla ,72059,1508,1340,1400,13.285609,11.8055146,12.3341197,113.5062762
Guaynabo ,72061,5631,4944,4600,78.3030234,68.7498043,63.9662418,71.912932
Gurabo ,72063,2170,1969,1900,29.5923931,26.8513466,25.9103903,73.32965578
Hatillo ,72065,1716,1595,1600,15.8201108,14.7045902,14.7506861,108.469531
Hormigueros ,72067,1225,1182,1100,41.6874277,40.2241139,37.4336086,29.3853583
Humacao ,72069,2904,2644,2500,24.8979468,22.6687918,21.4341829,116.6361235
Isabela ,72071,2123,1989,1900,14.7576455,13.826169,13.2075018,143.8576367
Jayuya ,72073,773,704,750,6.7017129,6.1035005,6.5023088,115.3436461
Juncos ,72077,1673,1480,1500,24.2699077,21.4700917,21.760228,68.93310116
Lajas ,72079,1273,1162,1100,7.9958434,7.298641,6.9092126,159.2077212
Lares ,72081,1892,1751,1800,11.8516235,10.9683894,11.2753289,159.6405765
Las Piedras ,72085,1767,1574,1600,20.1296707,17.9310139,18.227206,87.78086983
Luquillo ,72089,1292,1181,1100,18.8885716,17.2657919,16.0816012,68.40114893
Maricao ,72093,489,463,450,5.154733,4.8806572,4.7436193,94.86427418
Maunabo ,72095,660,604,600,12.0375045,11.0161405,10.9431859,54.82863981
Moca ,72099,1813,1704,1700,13.8991074,13.0634744,13.032809,130.4400307
Morovis ,72101,1618,1578,1600,16.0490835,15.65232,15.8705399,100.8157258
Naguabo ,72103,927,837,850,6.855775,6.1901658,6.2863093,135.2144721
Naranjito ,72105,1526,1358,1300,21.233513,18.8958785,18.0888381,71.86752373
Orocovis ,72107,1576,1435,1400,9.5404564,8.6869003,8.4750247,165.1912587
Patillas ,72109,945,872,850,7.7540544,7.1550639,6.9745463,121.871727
Ponce ,72113,11441,10426,10000,37.7744549,34.4232556,33.0167424,302.8766403
Quebradillas ,72115,1102,976,900,18.3537637,16.255239,14.9894622,60.04218085
Sabana Grande ,72121,1451,1367,1400,15.423769,14.5308699,14.8816517,94.07557927
Salinas ,72123,1755,1596,1600,9.157776,8.3280972,8.3489696,191.6404149
San Juan ,72127,26516,24255,23500,194.6424501,178.0454302,172.5033028,136.2292757
San Lorenzo ,72129,2247,2011,1900,16.3057206,14.5931482,13.7876587,137.8043974
Santa Isabel ,72133,1177,1083,1100,13.0256832,11.9853993,12.1735357,90.35994345
Toa Alta ,72135,3795,3506,3400,53.1676177,49.118753,47.6337023,71.3780336
Toa Baja ,72137,5426,4904,4800,85.4093119,77.1926402,75.5556022,63.52937258
Trujillo Alto ,72139,4279,4011,3800,77.2679288,72.4285259,68.618399,55.37873303
Utuado ,72141,2066,1831,1800,6.932244,6.1437265,6.0397092,298.0275919
Vega Alta ,72143,2248,2052,1900,31.2236612,28.5013135,26.3901051,71.9966819
Vega Baja ,72145,2801,2566,2700,23.1804508,21.2356432,22.3445973,120.8345786
Vieques ,72147,315,280,300,2.1998586,1.9554298,2.0951034,143.1910244
Villalba ,72149,1788,1670,1600,18.6402984,17.4101221,16.6803565,95.92121134
Yabucoa ,72151,1966,1773,1700,13.6741987,12.331818,11.8240782,143.7744213
Yauco ,72153,2395,2184,2200,13.548781,12.3551306,12.4456444,176.76867
Penuelas ,72111,1716,1525,1500,14.7739716,13.1295493,12.9143108,116.1502168
Rincon ,72117,830,706,750,22.3250762,18.9897636,20.1732616,37.17792469
Anasco ,72011,1674,1545,1400,16.2977177,15.0418004,13.6301104,102.7137684
Las Marias ,72083,690,627,600,5.7286111,5.205564,4.981401,120.4480437
Guanica ,72055,1345,1212,1200,13.4751989,12.1427071,12.0224822,99.81299827
Mayaguez ,72097,5394,5000,5000,26.8944886,24.9300043,24.9300043,200.561538
Comerio ,72045,1258,1086,1000,17.0283194,14.7001231,13.536025,73.87693227
San German ,72125,2053,1866,1900,14.542296,13.2176933,13.4585302,141.1744056
Loiza ,72087,2308,2126,2100,42.2785607,38.9446361,38.4683612,54.59031621
San Sebastian ,72131,1991,1910,1800,10.7939268,10.3547966,9.7584471,184.455578
Catano ,72033,2311,2150,2100,126.6403345,117.8177063,115.0777596,18.24853044
Manati,72091,2625,2423,2400,21.8985216,20.2133783,20.0215055,119.8711056
Juana Diaz ,72075,3464,3128,3100,22.0912561,19.9484553,19.7698885,156.8041215
Rio Grande ,72119,3142,2870,2800,19.8358498,18.1186789,17.6767599,158.4000701
Bayamon ,72021,16335,15071,14500,141.6814396,130.7181498,125.7655876,115.2938596
Canovanas ,72029,2835,2573,2500,33.1608229,30.0962248,29.2423483,85.49245013
