TRACT,MUNICIPIO,GEOID,SOCIOECON_18,HSECOMP_18,MINLANG_18,HSETRANS_18,OVERALL_18,SOCIOECON_17,HSECOMP_17,MINLANG_17,HSETRANS_17,OVERALL_17,SOCIOECON_16,HSECOMP_16,MINLANG_16,HSETRANS_16,OVERALL_16
"Census Tract 10, San Juan", San Juan,72127001000,0.0373,0.0249,0.0033,0.1245,0.0045,0.0203,0.0928,0.0033,0.2004,0.0113,0.0362,0.052,0.0011,0.1642,0.009
"Census Tract 100.01, San Juan", San Juan,72127010001,0.0747,0.1789,0.0237,0.4235,0.0486,0.0453,0.1302,0.0226,0.385,0.0441,0.0577,0.0441,0.0373,0.3918,0.0328
"Census Tract 100.02, San Juan", San Juan,72127010002,0,0.0124,0.1483,0.3023,0.0237,0,0.0045,0.1653,0.3171,0.0328,0,0.2004,0.0928,0.342,0.052
"Census Tract 100.12, San Juan", San Juan,72127010012,0.1585,0.761,0.1279,0.8629,0.453,0.1143,0.5526,0.1472,0.9093,0.3601,0.0781,0.2989,0.1687,0.8221,0.2253
"Census Tract 100.22, San Juan", San Juan,72127010022,0.0328,0.2389,0.1778,0.3533,0.0645,0.0679,0.2899,0.0362,0.334,0.0566,0.052,0.163,0.0554,0.2887,0.0373
"Census Tract 100.32, San Juan", San Juan,72127010032,0.2933,0.9773,0.3499,0.8788,0.7202,0.342,0.8867,0.3533,0.8731,0.6998,0.368,0.7916,0.3941,0.8187,0.6568
"Census Tract 100.42, San Juan", San Juan,72127010042,0.1551,0.2819,0.428,0.6285,0.2548,0.1415,0.3295,0.3771,0.522,0.2095,0.1155,0.2604,0.3873,0.5787,0.2095
"Census Tract 1001.01, Canóvanas", Canóvanas,72029100101,0.9275,0.4269,0.7621,0.6251,0.8142,0.8708,0.5232,0.8006,0.539,0.8154,0.7712,0.599,0.7565,0.4496,0.7395
"Census Tract 1001.03, Canóvanas", Canóvanas,72029100103,0.4813,0.8573,0.2819,0.2412,0.4303,0.7701,0.8765,0.4167,0.2389,0.6409,0.6342,0.9411,0.3884,0.2321,0.5821
"Census Tract 1001.04, Canóvanas", Canóvanas,72029100104,0.9841,0.5583,0.9377,0.6104,0.9229,0.983,0.4711,0.9105,0.6364,0.8969,0.9898,0.4235,0.8561,0.6047,0.8595
