NAME,GEOID,totpop_16,totpop_17,totpop_18
"Census Tract 1803.01, Humacao Municipio, Puerto Rico",72069180301,191,186,150
"Census Tract 1803.02, Humacao Municipio, Puerto Rico",72069180302,255,229,200
"Census Tract 1804, Humacao Municipio, Puerto Rico",72069180400,287,258,250
"Census Tract 1805, Humacao Municipio, Puerto Rico",72069180500,190,202,200
"Census Tract 1806, Humacao Municipio, Puerto Rico",72069180600,247,216,200
"Census Tract 1807, Humacao Municipio, Puerto Rico",72069180700,333,296,250
"Census Tract 1808, Humacao Municipio, Puerto Rico",72069180800,220,194,150
"Census Tract 1809.01, Humacao Municipio, Puerto Rico",72069180901,163,153,150
"Census Tract 1809.02, Humacao Municipio, Puerto Rico",72069180902,244,219,250
"Census Tract 9918, Humacao Municipio, Puerto Rico",72069991800,0,0,0
"Census Tract 4101, Isabela Municipio, Puerto Rico",72071410100,247,243,250
"Census Tract 4102, Isabela Municipio, Puerto Rico",72071410200,191,180,150
"Census Tract 4103, Isabela Municipio, Puerto Rico",72071410300,165,165,150
"Census Tract 4104.01, Isabela Municipio, Puerto Rico",72071410401,255,236,250
"Census Tract 4104.02, Isabela Municipio, Puerto Rico",72071410402,312,297,300
"Census Tract 4105, Isabela Municipio, Puerto Rico",72071410500,281,261,250
"Census Tract 4106, Isabela Municipio, Puerto Rico",72071410600,162,151,150
"Census Tract 4107.01, Isabela Municipio, Puerto Rico",72071410701,212,191,150
"Census Tract 4107.02, Isabela Municipio, Puerto Rico",72071410702,298,265,250
"Census Tract 9900, Isabela Municipio, Puerto Rico",72071990000,0,0,0
"Census Tract 9560, Jayuya Municipio, Puerto Rico",72073956000,219,192,200
"Census Tract 9561, Jayuya Municipio, Puerto Rico",72073956100,260,245,250
"Census Tract 9562, Jayuya Municipio, Puerto Rico",72073956200,294,267,300
"Census Tract 7101.02, Juana Diaz Municipio, Puerto Rico",72075710102,346,343,300
"Census Tract 7102, Juana Diaz Municipio, Puerto Rico",72075710200,377,316,300
"Census Tract 7103.01, Juana Diaz Municipio, Puerto Rico",72075710301,273,256,250
"Census Tract 7103.02, Juana Diaz Municipio, Puerto Rico",72075710302,297,273,300
"Census Tract 7104, Juana Diaz Municipio, Puerto Rico",72075710400,265,239,200
"Census Tract 7105, Juana Diaz Municipio, Puerto Rico",72075710500,154,135,150
"Census Tract 7106, Juana Diaz Municipio, Puerto Rico",72075710600,251,228,200
"Census Tract 7107, Juana Diaz Municipio, Puerto Rico",72075710700,216,211,200
"Census Tract 7108, Juana Diaz Municipio, Puerto Rico",72075710800,267,236,250
"Census Tract 7109.01, Juana Diaz Municipio, Puerto Rico",72075710901,364,303,300
"Census Tract 7109.02, Juana Diaz Municipio, Puerto Rico",72075710902,374,331,350
"Census Tract 7110.02, Juana Diaz Municipio, Puerto Rico",72075711002,280,257,250
"Census Tract 9900.01, Juana Diaz Municipio, Puerto Rico",72075990001,0,0,0
"Census Tract 5001, Juncos Municipio, Puerto Rico",72077500100,304,271,250
"Census Tract 5002, Juncos Municipio, Puerto Rico",72077500200,196,175,200
"Census Tract 5003.01, Juncos Municipio, Puerto Rico",72077500301,301,265,250
"Census Tract 5003.02, Juncos Municipio, Puerto Rico",72077500302,229,198,200
"Census Tract 5004.01, Juncos Municipio, Puerto Rico",72077500401,362,318,300
"Census Tract 5004.02, Juncos Municipio, Puerto Rico",72077500402,281,253,250
"Census Tract 8501.01, Lajas Municipio, Puerto Rico",72079850101,241,217,200
"Census Tract 8501.02, Lajas Municipio, Puerto Rico",72079850102,257,230,250
"Census Tract 8502, Lajas Municipio, Puerto Rico",72079850200,337,310,300
"Census Tract 8503, Lajas Municipio, Puerto Rico",72079850300,248,239,250
"Census Tract 8504, Lajas Municipio, Puerto Rico",72079850400,190,166,150
"Census Tract 9911, Lajas Municipio, Puerto Rico",72079991100,0,0,0
"Census Tract 9577, Lares Municipio, Puerto Rico",72081957700,286,271,250
"Census Tract 9578, Lares Municipio, Puerto Rico",72081957800,270,242,250
"Census Tract 9579, Lares Municipio, Puerto Rico",72081957900,328,291,300
"Census Tract 9580, Lares Municipio, Puerto Rico",72081958000,193,184,150
"Census Tract 9581, Lares Municipio, Puerto Rico",72081958100,249,235,200
"Census Tract 9582, Lares Municipio, Puerto Rico",72081958200,220,207,200
"Census Tract 9583, Lares Municipio, Puerto Rico",72081958300,153,140,150
"Census Tract 9584, Lares Municipio, Puerto Rico",72081958400,193,181,200
"Census Tract 9597, Las Marias Municipio, Puerto Rico",72083959700,319,309,250
"Census Tract 9598, Las Marias Municipio, Puerto Rico",72083959800,158,132,150
"Census Tract 9599, Las Marias Municipio, Puerto Rico",72083959900,213,186,200
"Census Tract 1901.01, Las Piedras Municipio, Puerto Rico",72085190101,296,276,300
"Census Tract 1901.02, Las Piedras Municipio, Puerto Rico",72085190102,316,269,250
"Census Tract 1902.01, Las Piedras Municipio, Puerto Rico",72085190201,282,237,250
"Census Tract 1902.02, Las Piedras Municipio, Puerto Rico",72085190202,243,232,250
"Census Tract 1903.01, Las Piedras Municipio, Puerto Rico",72085190301,300,272,250
"Census Tract 1903.02, Las Piedras Municipio, Puerto Rico",72085190302,330,288,300
"Census Tract 1101.01, Loiza Municipio, Puerto Rico",72087110101,174,167,150
"Census Tract 1101.02, Loiza Municipio, Puerto Rico",72087110102,226,192,200
"Census Tract 1102, Loiza Municipio, Puerto Rico",72087110200,182,181,150
"Census Tract 1103.01, Loiza Municipio, Puerto Rico",72087110301,277,237,250
"Census Tract 1103.02, Loiza Municipio, Puerto Rico",72087110302,245,232,250
"Census Tract 1103.03, Loiza Municipio, Puerto Rico",72087110303,334,312,300
"Census Tract 1103.04, Loiza Municipio, Puerto Rico",72087110304,290,259,250
"Census Tract 1104, Loiza Municipio, Puerto Rico",72087110400,213,198,200
"Census Tract 1105, Loiza Municipio, Puerto Rico",72087110500,115,113,100
"Census Tract 1106, Loiza Municipio, Puerto Rico",72087110600,252,235,200
"Census Tract 9900, Loiza Municipio, Puerto Rico",72087990000,0,0,0
"Census Tract 1401.01, Luquillo Municipio, Puerto Rico",72089140101,233,220,250
"Census Tract 1401.02, Luquillo Municipio, Puerto Rico",72089140102,230,206,200
"Census Tract 1402.01, Luquillo Municipio, Puerto Rico",72089140201,135,125,150
"Census Tract 1402.02, Luquillo Municipio, Puerto Rico",72089140202,335,293,300
"Census Tract 1403, Luquillo Municipio, Puerto Rico",72089140300,359,337,300
"Census Tract 9900.01, Luquillo Municipio, Puerto Rico",72089990001,0,0,0
"Census Tract 5701, Manati Municipio, Puerto Rico",72091570100,291,267,250
"Census Tract 5702.01, Manati Municipio, Puerto Rico",72091570201,382,352,350
"Census Tract 5702.02, Manati Municipio, Puerto Rico",72091570202,220,217,250
"Census Tract 5703, Manati Municipio, Puerto Rico",72091570300,281,236,250
"Census Tract 5704, Manati Municipio, Puerto Rico",72091570400,260,236,250
"Census Tract 5705, Manati Municipio, Puerto Rico",72091570500,364,346,350
"Census Tract 5706, Manati Municipio, Puerto Rico",72091570600,246,229,200
"Census Tract 5707, Manati Municipio, Puerto Rico",72091570700,296,285,300
"Census Tract 5708, Manati Municipio, Puerto Rico",72091570800,285,255,250
"Census Tract 9900.25, Manati Municipio, Puerto Rico",72091990025,0,0,0
"Census Tract 9601, Maricao Municipio, Puerto Rico",72093960100,272,264,250
"Census Tract 9602, Maricao Municipio, Puerto Rico",72093960200,217,199,200
"Census Tract 9514, Maunabo Municipio, Puerto Rico",72095951400,287,267,250
"Census Tract 9515, Maunabo Municipio, Puerto Rico",72095951500,168,154,150
"Census Tract 9516, Maunabo Municipio, Puerto Rico",72095951600,205,183,200
"Census Tract 9900, Maunabo Municipio, Puerto Rico",72095990000,0,0,0
"Census Tract 801, Mayaguez Municipio, Puerto Rico",72097080100,112,102,100
"Census Tract 802, Mayaguez Municipio, Puerto Rico",72097080200,158,148,150
"Census Tract 803, Mayaguez Municipio, Puerto Rico",72097080300,253,234,250
"Census Tract 804, Mayaguez Municipio, Puerto Rico",72097080400,129,120,150
"Census Tract 805, Mayaguez Municipio, Puerto Rico",72097080500,132,132,150
"Census Tract 806, Mayaguez Municipio, Puerto Rico",72097080600,131,130,100
"Census Tract 808, Mayaguez Municipio, Puerto Rico",72097080800,233,201,200
"Census Tract 809, Mayaguez Municipio, Puerto Rico",72097080900,126,118,100
"Census Tract 810, Mayaguez Municipio, Puerto Rico",72097081000,132,119,100
"Census Tract 811, Mayaguez Municipio, Puerto Rico",72097081100,104,108,100
"Census Tract 812, Mayaguez Municipio, Puerto Rico",72097081200,202,196,200
"Census Tract 813, Mayaguez Municipio, Puerto Rico",72097081300,175,159,150
"Census Tract 815.01, Mayaguez Municipio, Puerto Rico",72097081501,307,305,300
"Census Tract 815.12, Mayaguez Municipio, Puerto Rico",72097081512,234,235,250
"Census Tract 815.22, Mayaguez Municipio, Puerto Rico",72097081522,280,259,250
"Census Tract 816.01, Mayaguez Municipio, Puerto Rico",72097081601,323,284,300
