NAME,GEOID,totpop_16,totpop_17,totpop_18,totpopdens_16,totpopdens_17,totpopdens_18,Area_km2
"Census Tract 1803.01, Humacao ",72069180301,191,186,150,38,37,30,5.04799025
"Census Tract 1803.02, Humacao ",72069180302,255,229,200,24,21,19,10.79916473
"Census Tract 1804, Humacao ",72069180400,287,258,250,60,54,52,4.81980073
"Census Tract 1805, Humacao ",72069180500,190,202,200,18,19,19,10.40064265
"Census Tract 1806, Humacao ",72069180600,247,216,200,103,90,83,2.39950045
"Census Tract 1807, Humacao ",72069180700,333,296,250,130,115,97,2.57075615
"Census Tract 1808, Humacao ",72069180800,220,194,150,17,15,12,12.87747632
"Census Tract 1809.01, Humacao ",72069180901,163,153,150,14,13,13,11.97353598
"Census Tract 1809.02, Humacao ",72069180902,244,219,250,19,17,19,12.83919534
"Census Tract 4101, Isabela ",72071410100,247,243,250,12,12,12,20.80422132
"Census Tract 4102, Isabela ",72071410200,191,180,150,85,80,67,2.25462854
"Census Tract 4103, Isabela ",72071410300,165,165,150,61,61,55,2.72113711
"Census Tract 4104.01, Isabela ",72071410401,255,236,250,25,23,24,10.23768837
"Census Tract 4104.02, Isabela ",72071410402,312,297,300,21,20,20,14.78492645
"Census Tract 4105, Isabela ",72071410500,281,261,250,41,38,37,6.84018486
"Census Tract 4106, Isabela ",72071410600,162,151,150,3,3,3,48.34132211
"Census Tract 4107.01, Isabela ",72071410701,212,191,150,44,40,31,4.76610382
"Census Tract 4107.02, Isabela ",72071410702,298,265,250,9,8,8,33.10742405
"Census Tract 9560, Jayuya ",72073956000,219,192,200,4,4,4,51.17311624
"Census Tract 9561, Jayuya ",72073956100,260,245,250,177,166,170,1.47308292
"Census Tract 9562, Jayuya ",72073956200,294,267,300,5,4,5,62.69744687
"Census Tract 7101.02, Juana Diaz ",72075710102,346,343,300,8,8,7,44.79243455
"Census Tract 7102, Juana Diaz ",72075710200,377,316,300,24,20,19,15.70964101
"Census Tract 7103.01, Juana Diaz ",72075710301,273,256,250,43,40,39,6.35705158
"Census Tract 7103.02, Juana Diaz ",72075710302,297,273,300,26,24,27,11.29230448
"Census Tract 7104, Juana Diaz ",72075710400,265,239,200,262,236,198,1.01242513
"Census Tract 7105, Juana Diaz ",72075710500,154,135,150,281,246,274,0.54833475
"Census Tract 7106, Juana Diaz ",72075710600,251,228,200,152,138,121,1.64707829
"Census Tract 7107, Juana Diaz ",72075710700,216,211,200,8,8,8,26.43893239
"Census Tract 7108, Juana Diaz ",72075710800,267,236,250,19,16,17,14.34798689
"Census Tract 7109.01, Juana Diaz ",72075710901,364,303,300,55,46,45,6.63809666
"Census Tract 7109.02, Juana Diaz ",72075710902,374,331,350,19,17,18,19.85449392
"Census Tract 7110.02, Juana Diaz ",72075711002,280,257,250,34,31,31,8.16534188
"Census Tract 5001, Juncos ",72077500100,304,271,250,13,12,11,23.21683402
"Census Tract 5002, Juncos ",72077500200,196,175,200,37,33,38,5.30830017
"Census Tract 5003.01, Juncos ",72077500301,301,265,250,25,22,20,12.26054365
"Census Tract 5003.02, Juncos ",72077500302,229,198,200,23,20,20,9.75672147
"Census Tract 5004.01, Juncos ",72077500401,362,318,300,60,52,49,6.07171179
"Census Tract 5004.02, Juncos ",72077500402,281,253,250,23,21,20,12.31899005
"Census Tract 8501.01, Lajas ",72079850101,241,217,200,4,4,3,59.61310376
"Census Tract 8501.02, Lajas ",72079850102,257,230,250,11,10,11,23.45303107
"Census Tract 8502, Lajas ",72079850200,337,310,300,76,70,68,4.44015546
"Census Tract 8503, Lajas ",72079850300,248,239,250,20,19,20,12.52696495
"Census Tract 8504, Lajas ",72079850400,190,166,150,3,3,3,59.17446586
"Census Tract 9577, Lares ",72081957700,286,271,250,11,11,10,25.32610193
"Census Tract 9578, Lares ",72081957800,270,242,250,11,9,10,25.52805834
"Census Tract 9579, Lares ",72081957900,328,291,300,22,20,20,14.78219134
"Census Tract 9580, Lares ",72081958000,193,184,150,92,88,72,2.09610601
"Census Tract 9581, Lares ",72081958100,249,235,200,143,135,115,1.74324230
"Census Tract 9582, Lares ",72081958200,220,207,200,12,11,11,18.86116830
"Census Tract 9583, Lares ",72081958300,153,140,150,4,3,4,41.44218812
"Census Tract 9584, Lares ",72081958400,193,181,200,6,6,7,29.86152010
"Census Tract 9597, Las Marias ",72083959700,319,309,250,6,5,4,56.79095593
"Census Tract 9598, Las Marias ",72083959800,158,132,150,17,15,17,9.08965233
"Census Tract 9599, Las Marias ",72083959900,213,186,200,4,3,4,54.56743549
"Census Tract 1901.01, Las Piedras ",72085190101,296,276,300,9,8,9,34.44583369
"Census Tract 1901.02, Las Piedras ",72085190102,316,269,250,27,23,21,11.85460453
"Census Tract 1902.01, Las Piedras ",72085190201,282,237,250,89,75,79,3.17748615
"Census Tract 1902.02, Las Piedras ",72085190202,243,232,250,98,94,101,2.47386627
"Census Tract 1903.01, Las Piedras ",72085190301,300,272,250,18,16,15,16.61642588
"Census Tract 1903.02, Las Piedras ",72085190302,330,288,300,17,15,16,19.21265326
"Census Tract 1101.01, Loiza ",72087110101,174,167,150,237,228,205,0.73269043
"Census Tract 1101.02, Loiza ",72087110102,226,192,200,89,76,79,2.52995258
"Census Tract 1102, Loiza ",72087110200,182,181,150,159,158,131,1.14437568
"Census Tract 1103.01, Loiza ",72087110301,277,237,250,131,112,118,2.12190543
"Census Tract 1103.02, Loiza ",72087110302,245,232,250,21,20,21,11.64211063
"Census Tract 1103.03, Loiza ",72087110303,334,312,300,91,85,82,3.65630561
